datetime,rate
2015022214,49.0
2015022215,194.0
2015022216,78.0
2015022217,28.0
2015022218,14.0
2015022219,14.0
2015022220,6.0
2015022221,5.0
2015022222,5.0
2015022223,4.0
2015022300,8.0
2015022301,6.0
2015022302,10.0
2015022303,47.0
2015022304,52.0
2015022305,93.0
2015022306,28.0
2015022307,12.0
2015022308,87.0
2015022309,7.0
2015022310,10.0
2015022311,7.0
2015022312,65.0
2015022313,25.0
2015022314,11.0
2015022315,39.0
2015022316,40.0
2015022317,22.0
2015022318,13.0
2015022319,43.0
2015022320,15.0
2015022321,15.0
2015022322,12.0
2015022323,9.0
2015022400,12.0
2015022401,19.0
2015022402,7.0
2015022403,16.0
2015022404,15.0
2015022405,48.0
2015022406,36.0
2015022407,20.0
2015022408,26.0
2015022409,12.0
2015022410,2.0
2015022411,18.0
2015022412,3.0
2015022413,93.0
2015022414,28.0
2015022415,35.0
2015022416,112.0
2015022417,129.0
2015022418,87.0
2015022419,62.0
2015022420,46.0
2015022421,19.0
2015022422,21.0
2015022423,13.0
2015022500,11.0
2015022501,10.0
2015022502,11.0
2015022503,6.0
2015022504,74.0
2015022505,81.0
2015022506,38.0
2015022507,27.0
2015022508,24.0
2015022509,18.0
2015022510,10.0
2015022511,6.0
2015022512,13.0
2015022513,7.0
2015022514,8.0
2015022515,10.0
2015022516,41.0
2015022517,50.0
2015022518,161.0
2015022519,200.0
2015022520,68.0
2015022521,22.0
2015022522,37.0
2015022523,39.0
2015022600,31.0
2015022601,13.0
2015022602,12.0
2015022603,9.0
2015022604,18.0
2015022605,13.0
2015022606,26.0
2015022607,10.0
2015022608,17.0
2015022609,20.0
2015022610,9.0
2015022611,10.0
2015022612,3.0
2015022613,2.0
2015022614,7.0
2015022615,6.0
2015022616,2.0
2015022617,0.0
2015022618,0.0
2015022619,0.0
2015022620,36.0
2015022621,102.0
2015022622,11.0
2015022623,23.0
2015022700,9.0
2015022701,12.0
2015022702,15.0
2015022703,43.0
2015022704,8.0
2015022705,28.0
2015022706,12.0
2015022707,20.0
2015022708,7.0
2015022709,13.0
2015022710,3.0
2015022711,11.0
2015022712,3.0
2015022713,1.0
2015022714,5.0
2015022715,4.0
2015022716,5.0
2015022717,6.0
2015022718,10.0
2015022719,31.0
2015022720,26.0
2015022721,16.0
2015022722,20.0
2015022723,13.0
2015022800,3.0
2015022801,9.0
2015022802,1.0
2015022803,3.0
2015022804,1.0
2015022805,3.0
2015022806,1.0
2015022807,7.0
2015022808,4.0
2015022809,5.0
2015022810,3.0
2015022811,9.0
2015022812,8.0
2015022813,15.0
2015022814,5.0
2015022815,3.0
2015022816,8.0
2015022817,12.0
2015022818,9.0
2015022819,16.0
2015022820,18.0
2015022821,61.0
2015022822,73.0
2015022823,99.0
2015030100,48.0
2015030101,41.0
2015030102,10.0
2015030103,22.0
2015030104,10.0
2015030105,34.0
2015030106,13.0
2015030107,14.0
2015030108,17.0
2015030109,12.0
2015030110,23.0
2015030111,14.0
2015030112,24.0
2015030113,20.0
2015030114,26.0
2015030115,14.0
2015030116,7.0
2015030117,12.0
2015030118,8.0
2015030119,11.0
2015030120,12.0
2015030121,107.0
2015030122,188.0
2015030123,94.0
2015030200,66.0
2015030201,56.0
2015030202,26.0
2015030203,26.0
2015030204,11.0
2015030205,14.0
2015030206,12.0
2015030207,12.0
2015030208,7.0
2015030209,18.0
2015030210,27.0
2015030211,18.0
2015030212,9.0
2015030213,10.0
2015030214,22.0
2015030215,8.0
2015030216,7.0
2015030217,4.0
2015030218,3.0
2015030219,4.0
2015030220,6.0
2015030221,6.0
2015030222,29.0
2015030223,114.0
2015030300,74.0
2015030301,71.0
2015030302,80.0
2015030303,47.0
2015030304,18.0
2015030305,27.0
2015030306,11.0
2015030307,14.0
2015030308,6.0
2015030309,7.0
2015030310,28.0
2015030311,33.0
2015030312,53.0
2015030313,33.0
2015030314,24.0
2015030315,7.0
2015030316,19.0
2015030317,15.0
2015030318,17.0
2015030319,6.0
2015030320,13.0
2015030321,29.0
2015030322,16.0
2015030323,14.0
2015030400,107.0
2015030401,98.0
2015030402,40.0
2015030403,0.0
2015030404,0.0
2015030405,0.0
2015030406,0.0
2015030407,0.0
2015030408,0.0
2015030409,0.0
2015030410,0.0
2015030411,38.0
2015030412,59.0
2015030413,0.0
2015030414,0.0
2015030415,0.0
2015030416,0.0
2015030417,0.0
2015030418,0.0
2015030419,0.0
2015030420,0.0
2015030421,0.0
2015030422,0.0
2015030423,28.0
2015030500,69.0
2015030501,260.0
2015030502,421.0
2015030503,193.0
2015030504,81.0
2015030505,30.0
2015030506,10.0
2015030507,25.0
2015030508,113.0
2015030509,44.0
2015030510,40.0
2015030511,48.0
2015030512,26.0
2015030513,0.0
2015030514,40.0
2015030515,301.0
2015030516,45.0
2015030517,27.0
2015030518,18.0
2015030519,27.0
2015030520,19.0
2015030521,20.0
2015030522,43.0
2015030523,4.0
2015030600,0.0
2015030601,0.0
2015030602,0.0
2015030603,0.0
2015030604,0.0
2015030605,0.0
2015030606,0.0
2015030607,0.0
2015030608,0.0
2015030609,0.0
2015030610,0.0
2015030611,0.0
2015030612,0.0
2015030613,0.0
2015030614,0.0
2015030615,0.0
2015030616,0.0
2015030617,0.0
2015030618,0.0
2015030619,0.0
2015030620,0.0
2015030621,0.0
2015030622,0.0
2015030623,0.0
2015030700,0.0
